food,cuisine,category,display_amount,grams_per_display,protein_g_per_display,carbohydrates_g_per_display,fats_g_per_display,calories_kcal_per_display,protein_g_per_100g,carbohydrates_g_per_100g,fats_g_per_100g,calories_kcal_per_100g,source_primary,source_validation,validation_status,notes
Fafda,Gujarati,snack,1 serving,50,3.5,15.0,9.0,150.0,7.0,30.0,18.0,300.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Fried gram flour snack.
Khaman,Gujarati,snack,1 piece,40,3.0,10.0,1.0,61.0,7.5,25.0,2.5,152.5,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Steamed gram-flour snack.
Khandvi,Gujarati,snack,1 serving,100,5.0,15.0,6.0,140.0,5.0,15.0,6.0,140.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Besan rolls with coconut.
Khichu,Gujarati,snack,1 bowl,100,2.5,18.0,1.0,90.0,2.5,18.0,1.0,90.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Steamed rice-flour snack.
Patra,Gujarati,snack,1 roll,50,2.0,12.0,3.0,83.0,4.0,24.0,6.0,166.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Arbi leaves rolled snack.
Aloo Bhujia,Indian,snack,1 bowl,30,2.0,18.0,10.0,170.0,6.67,60.0,33.33,566.67,IFCT 2017 + USDA FoodData Central,IFCT 2017 + USDA FoodData Central snack reference,cross-validated,Potato sev snack.
Bhujia,Indian,snack,1 handful,30,2.4,16.5,9.0,153.0,8.0,55.0,30.0,510.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Generic sev/bhujia-style fried snack.
Chivda,Indian,snack,1 cup,30,1.2,16.5,5.4,102.0,4.0,55.0,18.0,340.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,"Mixed flattened rice snack, average."
Corn Chaat,Indian,snack,1 bowl,150,4.0,30.0,4.0,170.0,2.67,20.0,2.67,113.33,Standard recipe estimate,IFCT 2017 + USDA FoodData Central comparable snack bowls,recipe-estimate,Boiled corn with spices and lemon.
Egg Roll (Street),Indian,snack,1 roll,150,21.0,42.0,21.0,480.0,14.0,28.0,14.0,320.0,USDA FoodData Central + fast-food averages,Cross-checked against common fast-food and bakery averages,estimated,Street-style egg roll.
Mixture,Indian,snack,1 bowl,35,4.0,20.0,11.0,190.0,11.43,57.14,31.43,542.86,Standard recipe estimate,IFCT 2017 + USDA FoodData Central snack reference,recipe-estimate,Mixed savory snack mix.
Sev,Indian,snack,1 bowl,30,3.0,17.0,9.0,160.0,10.0,56.67,30.0,533.33,IFCT 2017 + USDA FoodData Central,IFCT 2017 + USDA FoodData Central snack reference,cross-validated,Gram flour sev.
Gobi Manchurian,Indo-Chinese,snack,1 plate,200,5.0,24.0,14.0,220.0,2.5,12.0,7.0,110.0,Standard recipe estimate,USDA FoodData Central vegetable fritter reference,recipe-estimate,Fried cauliflower in sauce.
Manchurian Dry,Indo-Chinese,snack,1 plate,200,7.0,20.0,12.0,200.0,3.5,10.0,6.0,100.0,Standard recipe estimate,USDA FoodData Central fritter reference,recipe-estimate,Dry vegetable/chicken manchurian.
Bruschetta,Italian,snack,2 pieces,80,4.8,16.0,8.0,144.0,6.0,20.0,10.0,180.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Tomato bruschetta.
Garlic Bread,Italian,snack,2 slices,60,5.4,22.8,7.2,192.0,9.0,38.0,12.0,320.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Bread with garlic butter.
Edamame,Japanese,snack,1 cup,155,17.0,14.0,8.0,190.0,10.97,9.03,5.16,122.58,USDA FoodData Central,USDA FoodData Central legume reference,cross-validated,Steamed soybeans.
Onigiri,Japanese,snack,1 piece,120,4.0,32.0,1.0,150.0,3.33,26.67,0.83,125.0,USDA FoodData Central,USDA FoodData Central rice snack reference,cross-validated,Rice ball.
Sushi Piece (Average),Japanese,snack,1 piece,30,1.6,5.0,0.8,35.0,5.33,16.67,2.67,116.67,Standard recipe estimate,USDA FoodData Central comparable sushi reference,recipe-estimate,Average sushi piece.
Tempura,Japanese,snack,1 serving,150,6.0,16.0,12.0,200.0,4.0,10.67,8.0,133.33,Standard recipe estimate,USDA FoodData Central fried snack reference,recipe-estimate,Mixed tempura.
Tteokbokki,Korean,snack,1 bowl,250,4.0,50.0,5.0,280.0,1.6,20.0,2.0,112.0,Standard recipe estimate,USDA FoodData Central snack reference,recipe-estimate,Rice cake in spicy sauce.
Bhakarwadi,Maharashtrian,snack,2 pieces,40,2.8,19.2,6.0,120.0,7.0,48.0,15.0,300.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,"Spiced rolled snack, average."
Kothimbir Vadi,Marathi,snack,2 pieces,80,4.0,14.0,6.0,126.0,5.0,17.5,7.5,157.5,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Coriander gram-flour snack.
Vada Pav,Marathi,snack,1 piece,150,8.25,42.0,21.0,390.0,5.5,28.0,14.0,260.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Potato fritter in pav.
Shawarma (Chicken),Middle Eastern,snack,1 roll,250,40.0,112.5,50.0,1075.0,16.0,45.0,20.0,430.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,"Chicken shawarma wrap, average street-style."
Shawarma (Paneer),Middle Eastern,snack,1 roll,250,35.0,105.0,55.0,1075.0,14.0,42.0,22.0,430.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,"Paneer shawarma wrap, average."
Shawarma (Veg),Middle Eastern,snack,1 roll,250,22.5,120.0,45.0,900.0,9.0,48.0,18.0,360.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,"Vegetable shawarma wrap, average."
Chicken Momos,North Eastern,snack,4 pieces,140,9.8,39.2,9.8,266.0,7.0,28.0,7.0,190.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Steamed chicken dumplings.
Chicken Momos (6 pcs),North Eastern,snack,6 pieces,180,16.0,28.0,7.0,239.0,8.89,15.56,3.89,132.78,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Steamed chicken dumplings.
"Momos (Chicken, Fried)",North Eastern,snack,4 pieces,110,11.0,28.6,9.9,253.0,10.0,26.0,9.0,230.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Fried chicken momos.
"Momos (Chicken, Steamed)",North Eastern,snack,4 pieces,100,9.0,24.0,4.0,170.0,9.0,24.0,4.0,170.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Steamed chicken momos.
"Momos (Chicken, Tandoori)",North Eastern,snack,4 pieces,110,11.0,27.5,7.7,231.0,10.0,25.0,7.0,210.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Tandoori chicken momos.
"Momos (Paneer, Fried)",North Eastern,snack,4 pieces,110,8.8,30.8,11.0,264.0,8.0,28.0,10.0,240.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Fried paneer momos.
"Momos (Paneer, Steamed)",North Eastern,snack,4 pieces,100,8.0,25.0,5.0,180.0,8.0,25.0,5.0,180.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Steamed paneer momos.
"Momos (Paneer, Tandoori)",North Eastern,snack,4 pieces,110,9.9,28.6,8.8,242.0,9.0,26.0,8.0,220.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Tandoori paneer momos.
"Momos (Veg, Fried)",North Eastern,snack,4 pieces,110,6.6,33.0,8.8,231.0,6.0,30.0,8.0,210.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Fried vegetable momos.
"Momos (Veg, Steamed)",North Eastern,snack,4 pieces,100,6.0,27.0,2.0,150.0,6.0,27.0,2.0,150.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Steamed vegetable momos.
"Momos (Veg, Tandoori)",North Eastern,snack,4 pieces,110,7.7,30.8,5.5,209.0,7.0,28.0,5.0,190.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Tandoori vegetable momos.
Veg Momos,North Eastern,snack,4 pieces,120,6.0,33.6,6.0,204.0,5.0,28.0,5.0,170.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Steamed vegetable dumplings.
Veg Momos (6 pcs),North Eastern,snack,6 pieces,180,8.0,30.0,5.0,197.0,4.44,16.67,2.78,109.44,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Steamed vegetable dumplings.
Aloo Tikki,North Indian,snack,1 piece,70,2.8,17.5,5.6,126.0,4.0,25.0,8.0,180.0,IFCT 2017 + USDA FoodData Central + recipe estimate,Cross-checked against composition tables; recipe-dependent,estimated,Shallow-fried potato patty.
Chicken Momos Fried,North Indian,snack,6 pieces,180,16.0,30.0,12.0,290.0,8.89,16.67,6.67,161.11,Standard recipe estimate,USDA FoodData Central dumpling reference,recipe-estimate,Fried chicken momos.
Chicken Momos Steamed,North Indian,snack,6 pieces,180,16.0,28.0,5.0,210.0,8.89,15.56,2.78,116.67,Standard recipe estimate,USDA FoodData Central dumpling reference,recipe-estimate,Steamed chicken momos.
Chicken Momos Tandoori,North Indian,snack,6 pieces,180,17.0,26.0,9.0,250.0,9.44,14.44,5.0,138.89,Standard recipe estimate,USDA FoodData Central dumpling reference,recipe-estimate,Tandoori chicken momos.
Chicken Tikka,North Indian,snack,100 g,100,26.0,4.0,8.0,192.0,26.0,4.0,8.0,192.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Roasted marinated chicken pieces.
Kachori,North Indian,snack,1 piece,80,4.0,24.0,12.8,232.0,5.0,30.0,16.0,290.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Fried stuffed kachori.
Mathri,North Indian,snack,1 piece,20,2.0,12.0,5.0,90.0,10.0,60.0,25.0,450.0,Standard recipe estimate,IFCT 2017 + USDA FoodData Central snack reference,recipe-estimate,Savory fried biscuit.
Pakora,North Indian,snack,1 bowl,120,5.0,22.0,12.0,220.0,4.17,18.33,10.0,183.33,Standard recipe estimate,IFCT 2017 + USDA FoodData Central comparable fritter items,recipe-estimate,Mixed vegetable fritters.
Paneer Momos Fried,North Indian,snack,6 pieces,180,14.0,30.0,14.0,320.0,7.78,16.67,7.78,177.78,Standard recipe estimate,USDA FoodData Central dumpling reference,recipe-estimate,Fried paneer momos.
Paneer Momos Steamed,North Indian,snack,6 pieces,180,14.0,28.0,8.0,240.0,7.78,15.56,4.44,133.33,Standard recipe estimate,USDA FoodData Central dumpling reference,recipe-estimate,Steamed paneer momos.
Paneer Momos Tandoori,North Indian,snack,6 pieces,180,15.0,26.0,11.0,280.0,8.33,14.44,6.11,155.56,Standard recipe estimate,USDA FoodData Central dumpling reference,recipe-estimate,Tandoori paneer momos.
Samosa,North Indian,snack,1 piece,75,4.5,21.0,13.5,225.0,6.0,28.0,18.0,300.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Potato-pea fried snack.
Seekh Kebab,North Indian,snack,1 skewer,80,15.0,3.0,10.0,162.0,18.75,3.75,12.5,202.5,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Spiced minced meat kebab.
Veg Momos Fried,North Indian,snack,6 pieces,180,8.0,32.0,10.0,260.0,4.44,17.78,5.56,144.44,Standard recipe estimate,USDA FoodData Central dumpling reference,recipe-estimate,Fried vegetable momos.
Veg Momos Steamed,North Indian,snack,6 pieces,180,8.0,30.0,4.0,190.0,4.44,16.67,2.22,105.56,Standard recipe estimate,USDA FoodData Central dumpling reference,recipe-estimate,Steamed vegetable momos.
Veg Momos Tandoori,North Indian,snack,6 pieces,180,9.0,28.0,7.0,220.0,5.0,15.56,3.89,122.22,Standard recipe estimate,USDA FoodData Central dumpling reference,recipe-estimate,Tandoori vegetable momos.
Butter Popcorn,Snack,snack,1 bowl,30,3.0,20.0,8.0,150.0,10.0,66.67,26.67,500.0,Standard recipe estimate,USDA FoodData Central snack reference,recipe-estimate,Butter-coated popcorn.
Caramel Popcorn,Snack,snack,1 bowl,35,2.0,28.0,6.0,180.0,5.71,80.0,17.14,514.29,Standard recipe estimate,USDA FoodData Central snack reference,recipe-estimate,Sweet caramel popcorn.
Cheese Popcorn,Snack,snack,1 bowl,35,4.0,25.0,9.0,180.0,11.43,71.43,25.71,514.29,Standard recipe estimate,USDA FoodData Central snack reference,recipe-estimate,Cheese-flavored popcorn.
Popcorn (Air-Popped),Snack,snack,1 bowl,25,0.75,4.5,0.25,23.75,3.0,18.0,1.0,95.0,USDA FoodData Central + fast-food averages,Cross-checked against common fast-food and bakery averages,estimated,Air-popped popcorn bowl.
Popcorn (Butter),Snack,snack,1 bowl,30,0.9,6.0,1.8,48.0,3.0,20.0,6.0,160.0,USDA FoodData Central + fast-food averages,Cross-checked against common fast-food and bakery averages,estimated,Buttered popcorn bowl.
Popcorn Air-Popped,Snack,snack,1 bowl,20,2.0,15.0,1.0,80.0,10.0,75.0,5.0,400.0,USDA FoodData Central,USDA FoodData Central snack reference,cross-validated,Plain air-popped popcorn.
Banana Chips,South Indian,snack,1 bowl,30,1.0,18.0,9.0,160.0,3.33,60.0,30.0,533.33,Standard recipe estimate,IFCT 2017 + USDA FoodData Central snack reference,recipe-estimate,Fried banana chips.
Curd Vada,South Indian,snack,2 pieces,120,7.0,16.0,8.0,164.0,5.83,13.33,6.67,136.67,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Medu vada soaked in curd.
Masala Vada,South Indian,snack,1 piece,45,4.0,11.0,7.0,123.0,8.89,24.44,15.56,273.33,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Fried chana dal vada.
Medu Vada,South Indian,snack,1 piece,50,3.0,13.0,7.5,140.0,6.0,26.0,15.0,280.0,IFCT 2017 + USDA FoodData Central + standard recipe estimate,Standard recipe estimate cross-checked against ingredient tables,cross-validated,Fried lentil vada.
Mirchi Bajji,South Indian,snack,1 piece,60,3.0,14.0,7.0,130.0,5.0,23.33,11.67,216.67,Standard recipe estimate,IFCT 2017 + USDA FoodData Central comparable fritter items,recipe-estimate,"Chilli fritter, deep fried."
Murukku,South Indian,snack,1 piece,25,1.0,15.0,6.0,110.0,4.0,60.0,24.0,440.0,Standard recipe estimate,IFCT 2017 + USDA FoodData Central snack reference,recipe-estimate,Crispy rice-flour snack.
Paniyaram,South Indian,snack,3 pieces,90,4.0,15.0,4.0,112.0,4.44,16.67,4.44,124.44,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Pan-fried rice batter balls.
Croquetas,Spanish,snack,4 pieces,100,7.0,20.0,15.0,240.0,7.0,20.0,15.0,240.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Creamy fried croquettes.
Pan con Tomate,Spanish,snack,1 serving,80,3.2,20.8,5.6,144.0,4.0,26.0,7.0,180.0,USDA FoodData Central + FAO/INFOODS/CoFID,USDA FoodData Central + FAO/INFOODS/CoFID,cross-validated,Bread with tomato and oil.
Bhel Puri,Street Food,snack,1 bowl,150,4.0,28.0,8.0,200.0,2.67,18.67,5.33,133.33,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Puffed rice snack mix.
Dahi Puri,Street Food,snack,6 pieces,150,4.0,25.0,10.0,206.0,2.67,16.67,6.67,137.33,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Pani puri with curd.
Egg Roll,Street Food,snack,1 roll,180,14.0,28.0,14.0,290.0,7.78,15.56,7.78,161.11,Standard recipe estimate,IFCT 2017 + USDA FoodData Central wrap reference,recipe-estimate,Egg and paratha roll.
Pani Puri,Street Food,snack,6 pieces,120,3.0,30.0,8.0,204.0,2.5,25.0,6.67,170.0,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Golgappa/puchka snack.
Sev Puri,Street Food,snack,1 plate,120,3.0,25.0,10.0,202.0,2.5,20.83,8.33,168.33,Indian Food Composition Tables (IFCT 2017),Standard recipe estimate cross-checked against ingredient tables,estimated,Chaat with sev and chutneys.
Hummus,Vegan,snack,2 tbsp,30,2.0,4.0,5.0,70.0,6.67,13.33,16.67,233.33,USDA FoodData Central,USDA FoodData Central snack reference,cross-validated,Chickpea dip.
Bobotie,African,meal,1 serving,250,18.0,20.0,18.0,320.0,7.2,8.0,7.2,128.0,Standard recipe estimate,FAO/INFOODS + comparable casserole reference,recipe-estimate,South African baked meat dish.
Bunny Chow,African,meal,1 serving,300,12.0,55.0,16.0,430.0,4.0,18.33,5.33,143.33,Standard recipe estimate,FAO/INFOODS + comparable curry-bread reference,recipe-estimate,Curry served in bread bowl.
Jollof Rice,African,meal,1 plate,250,7.0,45.0,8.0,300.0,2.8,18.0,3.2,120.0,Standard recipe estimate,FAO/INFOODS + comparable rice dish reference,recipe-estimate,West African tomato rice.
Arabic Chicken Platter,Arabian,meal,1 plate,350,28.0,45.0,18.0,500.0,8.0,12.86,5.14,142.86,Standard recipe estimate,USDA FoodData Central grilled chicken reference,recipe-estimate,Chicken with rice and sides.
Chicken Shawarma,Arabian,meal,1 wrap,250,24.0,30.0,12.0,330.0,9.6,12.0,4.8,132.0,Standard recipe estimate based on common shawarma wrap proportions,USDA FoodData Central comparable wrap items,recipe-estimate,Chicken wrap with garlic sauce and vegetables.
Falafel Wrap,Arabian,meal,1 wrap,250,12.0,40.0,14.0,350.0,4.8,16.0,5.6,140.0,Standard recipe estimate,USDA FoodData Central comparable wrap items,recipe-estimate,Wrap with falafel and sauces.
Hummus Pita,Arabian,meal,1 wrap,220,10.0,35.0,10.0,300.0,4.55,15.91,4.55,136.36,Standard recipe estimate,USDA FoodData Central dip and bread reference,recipe-estimate,Pita with hummus.
Paneer Shawarma,Arabian,meal,1 wrap,240,16.0,32.0,14.0,340.0,6.67,13.33,5.83,141.67,Standard recipe estimate based on common shawarma wrap proportions,IFCT 2017 + USDA FoodData Central comparable wrap items,recipe-estimate,Paneer wrap with sauce and vegetables.
